Location,FileName,Point_ID,Kind,Transect_ID,Type,Station_nom_m,Track,Seq,Northing,Easting,Elevation_ft,Elevation_m,Distance_m,Lat,Lon,CRS
San Pablo,san-pablo-final.csv,benchmark-s1,benchmark,,benchmark start,,,,1813355.822,6428340.296,21.407,6.525,,38.1405777,-122.4635413,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,benchmark-end-1,benchmark,,benchmark end,,,,1813355.844,6428340.323,21.449,6.538,,38.1405778,-122.4635412,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,benchmark-end-2,benchmark,,benchmark end,,,,1813355.857,6428340.307,21.480,6.547,,38.1405778,-122.4635413,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,benchmark-end-3,benchmark,,benchmark end,,,,1813355.835,6428340.294,21.470,6.544,,38.1405777,-122.4635413,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-0.5a,tile,S1,tile,0.5,a,,1804107.825,6425343.364,5.668,1.728,0.00,38.1151421,-122.4737931,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-0.5b,tile,S1,tile,0.5,b,,1804107.876,6425342.813,5.738,1.749,0.01,38.1151423,-122.4737950,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-0.5c,tile,S1,tile,0.5,c,,1804108.033,6425342.471,5.729,1.746,0.06,38.1151427,-122.4737962,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-2a,tile,S1,tile,2,a,,1804112.77,6425341.567,5.713,1.741,1.49,38.1151557,-122.4737994,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-2b,tile,S1,tile,2,b,,1804113.021,6425341.086,5.823,1.775,1.57,38.1151564,-122.4738011,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-2c,tile,S1,tile,2,c,,1804113.226,6425340.705,5.848,1.782,1.63,38.1151569,-122.4738024,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tiles-6a,tile,S1,tile,6,a,,1804126.019,6425343.361,6.021,1.835,5.54,38.1151921,-122.4737934,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tiles-6b,tile,S1,tile,6,b,,1804125.993,6425342.938,6.055,1.846,5.53,38.1151920,-122.4737949,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tiles-6c,tile,S1,tile,6,c,,1804125.971,6425342.43,6.088,1.856,5.52,38.1151919,-122.4737966,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-12-a,tile,S1,tile,12,a,,1804145.866,6425343.33,6.332,1.930,11.59,38.1152466,-122.4737939,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-12-b,tile,S1,tile,12,b,,1804145.902,6425342.985,6.350,1.935,11.60,38.1152467,-122.4737951,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-12-c,tile,S1,tile,12,c,,1804145.868,6425342.515,6.339,1.932,11.59,38.1152466,-122.4737967,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-18-a,tile,S1,tile,18,a,,1804165.405,6425344.438,6.535,1.992,17.55,38.1153003,-122.4737904,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-18-b,tile,S1,tile,18,b,,1804165.224,6425343.972,6.553,1.997,17.50,38.1152997,-122.4737920,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-18-c,tile,S1,tile,18,c,,1804165.09,6425343.501,6.578,2.005,17.45,38.1152994,-122.4737936,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-24-a,tile,S1,tile,24,a,,1804184.752,6425344.789,6.647,2.026,23.45,38.1153534,-122.4737895,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-24-b,tile,S1,tile,24,b,,1804184.68,6425344.44,6.645,2.025,23.43,38.1153532,-122.4737907,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tile-24-c,tile,S1,tile,24,c,,1804184.633,6425344.047,6.639,2.024,23.41,38.1153530,-122.4737921,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tiles-48a,tile,S1,tile,48,a,,1804263.475,6425346.82,6.720,2.048,47.45,38.1155696,-122.4737839,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tiles-48b,tile,S1,tile,48,b,,1804263.611,6425346.536,6.723,2.049,47.49,38.1155699,-122.4737849,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s1-tiles-48c,tile,S1,tile,48,c,,1804263.643,6425346.11,6.766,2.062,47.50,38.1155700,-122.4737864,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-0.5a,tile,S2,tile,0.5,a,,1804096.309,6425226.639,5.693,1.735,0.00,38.1151088,-122.4741985,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-0.5b,tile,S2,tile,0.5,b,,1804096.24,6425226.236,5.706,1.739,-0.01,38.1151086,-122.4741999,CA zone II (EPSG:2226)
San Pablo,san-pablo-final.csv,s2-tile-0.5c,tile,S2,tile,0.5,c,,1804096.206,6425225.728,5.668,1.728,-0.00,38.1151085,-122.4742017,CA zone II (EPSG:2226)
